Número de Trocas (Desordenados):
Tamanho,Quicksort,Heapsort,Shellsort
5000,31946.666666666668,57151.166666666664,62172.0
10000,71105.5,124217.66666666667,145268.0
50000,425332.6666666667,737518.1666666666,1183949.5
100000,916191.8333333334,1574944.6666666667,2919165.8333333335
