Número de Comparações (Ordenados Ascendentemente):
Tamanho,Quicksort,Heapsort,Shellsort
500,43169.0,21568.0,7012.0
5000,4181743.0,302422.0,110010.0
10000,16696740.0,655328.0,240010.0
30000,150090448.0,2191647.0,780014.0
