Tamanho,Quicksort (s),Heapsort (s),Shellsort (s)
500,0.0004166841506958008,0.0007156848907470704,0.00036008358001708983
5000,0.005549216270446777,0.0105391263961792,0.0063370466232299805
10000,0.015785932540893555,0.022962045669555665,0.01417231559753418
30000,0.040362000465393066,0.07597007751464843,0.04283006191253662
