Tamanho,Quicksort (s),Heapsort (s),Shellsort (s)
500,0.0004890680313110352,0.0007073163986206054,0.00048453807830810546
5000,0.005553340911865235,0.011122512817382812,0.009896469116210938
10000,0.012946009635925293,0.02620086669921875,0.02369532585144043
30000,0.03882262706756592,0.07947494983673095,0.08130495548248291
