Número de Trocas (Ordenados Ascendentemente):
Tamanho,Quicksort,Heapsort,Shellsort
500,978.0,4354.0,0.0
5000,9971.0,60932.0,0.0
10000,19969.0,131956.0,0.0
30000,59965.0,440100.0,0.0
