Número de Comparações (Desordenados):
Tamanho,Quicksort,Heapsort,Shellsort
5000,66818.83333333333,286580.3333333333,167816.66666666666
10000,145280.66666666666,623030.1666666666,387834.0
50000,859495.0,3696889.0,2583119.5
100000,1824075.0,7894273.166666667,5888024.5
