Número de Trocas (Ordenados Descendentemente):
Tamanho,Quicksort,Heapsort,Shellsort
5000,34055.0,53436.0,28780.0
10000,74569.0,116696.0,62560.0
50000,462778.0,698892.0,397280.0
100000,997719.0,1497434.0,844560.0
